id	batch	stratum	path	adv	ctx	ms	answer	outcome	pair	in_text	suggested	freq_text	freq_sugg	position	words	source_id	sentence
b001-045	batch-001	real	adjacent	42	2	3171	in-text	overruled	ב/ו	בג	וג	103	110	5	12	firing-182447-5	אתה בטח כל כך גאה בג ואי ובכל מה שקורה בקריירה שלו
b001-046	batch-001	injected	known			2309	in-text	control-miss	ו/ב	ואה	באה	71	114	2	6	injected-81077-2	ג ואנה ואה לכאן אל תדאג
b001-047	batch-001	real	adjacent	26	2	2240	unclear	unclear	א/ע	האול	העול	31	64	3	5	firing-229650-3	אנו מחפשים את האול ספארק
b001-048	batch-001	injected	known			3111	suggested	control-pass	ח/כ	חל	כל	80	158	3	10	injected-94426-3	תשמור לך את חל הזכיות פחות חלקי החילוף שאני צריך
b001-049	batch-001	injected	known			3816	suggested	control-pass	ס/ש	מסנה	משנה	27	127	11	14	injected-84005-11	אני מתכוונת לצוד אותו לא משנה כמה זמן זה ייקח לא מסנה מה המחיר
b001-050	batch-001	real	adjacent	22	2	7270	in-text	overruled	כ/ק	כל	קל	158	121	3	6	firing-95818-3	רב ערך מדי כל השליטה הזו
b001-051	batch-001	real	adjacent	37	2	4280	in-text	overruled	ו/ב	ושנית	בשנית	78	78	9	16	firing-146855-9	קודם כן זה פשע של זעם לא משיכה מינית ושנית את לא דוחה את מאוד יפה
b001-052	batch-001	real	adjacent	23	2	7476	in-text	overruled	א/ע	אלה	עלה	130	108	3	11	firing-110223-3	לאהבה בתנאים שלי אלה התנאים היחידים שכל אחד יודע התנאים שלו
b001-053	batch-001	real	adjacent	21	2	3385	suggested	agreed	ח/כ	חבר	כבר	136	143	2	5	firing-165408-2	תעשה סיבוב חבר תעשה סיבוב
b001-054	batch-001	real	adjacent	21	2	3563	suggested	agreed	ש/ס	שוכני	סוכני	55	85	4	7	firing-13265-4	זה אותו הסיפור עם שוכני מערות אחרים
b001-055	batch-001	real	adjacent	26	2	2258	in-text	overruled	ב/ו	הבא	הוא	125	164	2	6	firing-150259-2	ביום שבת הבא ייערך מצעד הגאווה
b001-056	batch-001	real	adjacent	42	2	3292	in-text	overruled	א/ע	אשרת	עשרת	68	85	2	4	firing-122000-2	תמונה של אשרת הנסיעה
b001-057	batch-001	clean	none			2431	in-text	control-pass	כ/ח	זכה	זחה	92	25	2	4	clean-73039-2	שמעתי שפלנטיין זכה במועמדות
b001-058	batch-001	real	adjacent	22	2	6038	in-text	overruled	ו/ב	מולי	מבלי	103	107	2	4	firing-258807-2	החברה שלו מולי חולה
b001-059	batch-001	real	adjacent	24	2	1588	in-text	overruled	ש/ס	שביר	סביר	72	105	2	4	firing-133194-2	לא הוא שביר מדי
b001-060	batch-001	real	adjacent	26	2	1334	in-text	overruled	ב/ו	בזה	וזה	133	131	3	7	firing-157489-3	עכשיו אני נזכרת בזה וזה כמעט מצחיק
b001-061	batch-001	real	adjacent	41	2	3155	in-text	overruled	ס/ש	החסד	החשד	74	65	4	7	firing-82932-4	אבל הענק לי את החסד הקטן הזה
b001-062	batch-001	real	adjacent	67	2	3705	both-fine	both-fine	ו/ב	הגור	הגבר	71	105	2	4	firing-3161-2	של מי הגור הזה
b001-063	batch-001	real	adjacent	50	1	1296	unclear	unclear	ע/א	לע	לא	85	178	8	11	firing-207021-8	םחל תצק קר םינוונחה תא הריכמ תא אבא לע ורבדי םה
b001-064	batch-001	real	adjacent	23	2	8659	in-text	overruled	א/ע	אבודה	עבודה	86	128	4	6	firing-157641-4	התקווה שהייתה לך בחשאי אבודה עכשיו
b001-065	batch-001	real	adjacent	43	2	16145	both-fine	both-fine	ש/ס	הכשפים	הכספים	63	85	2	4	firing-8810-2	ראינו את הכשפים שלו
b001-066	batch-001	real	adjacent	35	2	22507	in-text	overruled	א/ע	אל	על	148	164	11	13	firing-24621-11	לא לא כדי להגיע לביתו של נד כדאי שתפנה ימינה ותחזור אל הגבעות
b001-067	batch-001	real	adjacent	31	2	5236	in-text	overruled	ב/ו	בצ	וצ	93	91	5	11	firing-190630-5	רבותיי אני יכולה לעניין אתכם בצ יפס צ ילי וחצי המבורגר
b001-068	batch-001	real	adjacent	41	2	10531	unclear	unclear	ע/א	עלו	אלו	92	122	4	6	firing-264594-4	אתה שוכח שלי הן עלו בשלי
b001-069	batch-001	clean	none			2271	in-text	control-pass	ב/ו	חושב	חושו	146	36	1	5	clean-99036-1	הוא חושב לעבור לגור ברומא
b001-070	batch-001	real	adjacent	59	2	5397	unclear	unclear	א/ע	אל	על	148	164	2	10	firing-258287-2	המצאת דמות אל אחת עבורך למה לא להמציא אחת עבורה
b001-071	batch-001	real	adjacent	25	2	5172	unclear	unclear	א/ע	אלי	עלי	121	125	1	6	firing-176608-1	כן אלי טרוג הכדור אצל מאוס
b001-072	batch-001	injected	known			4653	suggested	control-pass	ב/ו	הבא	הוא	125	164	1	7	injected-54734-1	מה הבא יכול לעשות עם חצי חור
b001-073	batch-001	real	adjacent	28	2	5811	in-text	overruled	ו/ב	ואותו	באותו	71	119	3	5	firing-168023-3	אל תששש אותי ואותו לא
b001-074	batch-001	real	adjacent	22	2	6475	in-text	overruled	א/ע	אל	על	148	164	1	11	firing-113740-1	מסעדת אל חרם במזרח התיכון הציגה חוויה קולינרית שהייתה מאוד ייחודית
b001-075	batch-001	injected	known			3492	suggested	control-pass	ש/ס	מיש	מיס	53	112	4	6	injected-120324-4	יש לך סירה עבור מיש דניאלס
b001-076	batch-001	real	adjacent	22	2	2823	in-text	overruled	א/ע	אל	על	148	164	3	5	firing-247916-3	ולנסות ולהיות נחמד אל מלקולם
b001-077	batch-001	real	adjacent	25	2	4335	suggested	agreed	ע/א	עיני	איני	88	116	4	8	firing-115776-4	אינני מוכן לקבל זאת עיני חזיר חתיכת חרה
b001-078	batch-001	clean	none			6530	in-text	control-pass	א/ע	אותו	עותו	153	0	7	15	clean-78757-7	אני תמיד שמח לקבל מעלה בן להחזיר אותו בחוץ מנשק הבנות מה שהופך אותם לבכות
b001-079	batch-001	clean	none			21515	unclear	control-miss	כ/ח	כי	חי	145	118	10	23	clean-98542-10	זה רעיון נפלא זה רעיון נהדר אני כבר מכיר אותו כי אנו צופים בו שנים וזה מחזיר אליי את הפור הייתה לו טרמפולינה
b001-080	batch-001	real	adjacent	25	2	22352	in-text	overruled	ב/ו	בלב	בלו	96	87	6	9	firing-214983-6	לפחות נימוסי הרופא שלך משאירים תקווה בלב ג ק
b001-081	batch-001	real	adjacent	38	2	15677	unclear	unclear	ו/ב	לסוך	לסבך	0	77	6	18	firing-28919-6	באופן רגיל פועלות צינוריות הדמעות כדי לסוך את העין ולהגן עליה כשמתרגשים הן מגיבות באופן מוגזם ויוצרות דמעות
b001-082	batch-001	clean	none			5975	in-text	control-pass	ו/ב	ון	בן	123	134	1	5	clean-47432-1	ג ון קלהון ביקר אותי
b001-083	batch-001	real	adjacent	22	2	6486	unclear	unclear	ב/ו	במצבר	במצור	35	59	3	10	firing-158705-3	האורגים שלו התרבו במצבר של נבנה מחדש בשטחיה של מורדור
b001-084	batch-001	real	adjacent	59	2	7039	in-text	overruled	ט/ת	אוטו	אותו	89	153	8	11	firing-216497-8	הכלב המסכן שלי בטח רץ החוצה ונפגע מאיזה אוטו או משאית
b001-085	batch-001	real	adjacent	24	2	3533	in-text	overruled	ב/ו	המוטבת	המוטות	33	65	6	12	firing-117130-6	לא התכוונתי לספר לך אבל את המוטבת שלי אם יקרה לי משהו
b001-086	batch-001	real	adjacent	42	2	3210	unclear	unclear	ב/ו	לב	לו	126	147	3	7	firing-254469-3	אני לא הורשו לב דבר כזה זמן
b001-087	batch-001	real	adjacent	21	2	3532	unclear	unclear	א/ע	אולי	עולי	145	45	2	8	firing-222275-2	חשבתי על אולי עושה סיור ספר ברחבי הצי
b001-088	batch-001	real	adjacent	52	2	2932	in-text	overruled	ב/ו	באם	ואם	81	123	4	10	firing-140556-4	לא למעשה זה תלוי באם הם יצליחו לשרוד את הלילה
b001-089	batch-001	real	adjacent	47	2	4773	unclear	unclear	א/ע	אל	על	148	164	1	12	firing-267088-1	רובין אל ז אק אני יודע שאהבת אותו אבל חייבים לעצור אותו
b001-090	batch-001	real	adjacent	26	2	4041	unclear	unclear	ו/ב	כדור	כדבר	116	70	4	6	firing-34276-4	אני יודעת איך נשמע כדור שיער
b001-091	batch-001	real	adjacent	34	2	4170	in-text	overruled	ק/כ	עריקת	עריכת	24	63	3	5	firing-124935-3	הוא עודד את עריקת המתיישבים
b001-092	batch-001	real	adjacent	39	2	6693	unclear	unclear	ט/ת	טא	תא	55	107	8	10	firing-195306-8	מס התותח הראשי הוא בחוץ ואני השקנו כל טא אה
b001-093	batch-001	real	adjacent	59	2	1547	unclear	unclear	ב/ו	מב	מו	67	93	2	18	firing-511-2	עמ ש מב הנ שה םל י י ח ומל ענ הל מה ל ש תלב וק מה
b001-094	batch-001	clean	none			3032	in-text	control-pass	ו/ב	הונג	הבנג	82	53	3	5	clean-6884-3	אגדה בכל רחבי הונג קונג
b001-095	batch-001	real	adjacent	34	2	2504	in-text	overruled	ח/כ	חי	כי	118	145	3	6	firing-99350-3	ודאי שמעת שדיקי חי כעת באיטליה
b001-096	batch-001	real	adjacent	29	2	7316	in-text	overruled	ו/ב	וכל	בכל	117	138	7	9	firing-53609-7	הוא אוהב שמסתובבים אצלו אנשים וחוגגים מסיבות וכל העניינים
b001-097	batch-001	real	adjacent	26	2	7325	unclear	unclear	ו/ב	עשו	עשב	112	82	3	13	firing-243916-3	עם יתרון ל עשו חברי פיי לונג הסכם להדחת חברי ז אן הו
b001-098	batch-001	clean	none			1483	in-text	control-pass	ע/א	על	אל	164	148	2	4	clean-80702-2	מי הורה על כך
b001-099	batch-001	real	adjacent	33	2	6514	both-fine	both-fine	ו/ב	ותוך	בתוך	72	122	4	11	firing-256916-4	הכרתי את באדי במכללה ותוך שלושה שבועות הוא בחר עבורי כוכב
b001-100	batch-001	clean	none			3961	in-text	control-pass	ש/ס	של	סל	162	80	10	12	clean-17353-10	אחרי עונת בייס קטבול הרגילה והמעייפת אנחנו חוזרים לחודש התשיעי של הגמר
b002-001	batch-002	clean	none			40083	in-text	control-pass	א/ע	אותי	עותי	151	0	2	19	clean-85358-2	אתה מבין אותי לא אתה צודק אתה צודק בהחלט ממש ברגע זה אני מרגיש את המיצים חוזרים לביצים שלי
b002-002	batch-002	real	adjacent	22	2	2857	suggested	agreed	ח/כ	חבר	כבר	136	143	2	6	firing-251917-2	היא תפוסה חבר היא חייבת לו
b002-003	batch-002	real	adjacent	22	2	6269	in-text	overruled	ו/ב	ועוד	בעוד	109	121	4	16	firing-163884-4	שתברך אותם ותחזק אותם ועוד נבקש אל יקר שתברך גם את אלה שנשארו כאן בקבוצה זו
b002-004	batch-002	real	adjacent	68	2	2605	suggested	agreed	ע/א	נקרע	נקרא	86	109	1	5	firing-205971-1	זה נקרע צמיד האהבה נכון
b002-005	batch-002	real	adjacent	21	2	10026	in-text	overruled	ע/א	עליה	אליה	122	114	2	6	firing-213145-2	אם אגן עליה אז היא שלי
b002-006	batch-002	injected	known			21861	suggested	control-pass	ס/ש	סל	של	80	162	5	9	injected-58646-5	אני לא יכולה להכנס לבתים סל אנשים ולהרוג אותם
b002-007	batch-002	real	adjacent	26	2	2431	in-text	overruled	א/ע	אליי	עליי	124	131	2	9	firing-211215-2	אל תתקרבי אליי מפני שאני לא רוצה לפגוע בך
b002-008	batch-002	real	adjacent	30	2	3782	in-text	overruled	כ/ח	מתכת	מתחת	91	118	5	7	firing-205660-5	המפקח טאו ארסן זה לא מתכת כבדה
b002-009	batch-002	clean	none			2425	in-text	control-pass	א/ע	אתה	עתה	169	105	1	5	clean-74592-1	מה אתה עושה כאן בכלל
b002-010	batch-002	real	adjacent	29	2	4735	both-fine	both-fine	ש/ס	השידור	הסידור	85	69	7	9	firing-212903-7	ריד אני יודע מה טום חושב על השידור הזה
b002-011	batch-002	real	adjacent	31	2	5816	unclear	unclear	ע/א	עשר	אשר	114	115	11	13	firing-44932-11	אל תתבייש אתה יודע הייתי רעב פעם ראיתי איש עשיר איש עשר שקינאתי
b002-012	batch-002	real	adjacent	90	2	5292	unclear	unclear	ס/ש	לסחרר	לשחרר	41	106	1	4	firing-52561-1	כדי לסחרר אותי כמוך
b002-013	batch-002	real	adjacent	36	2	3747	in-text	overruled	א/ע	אם	עם	157	157	3	9	firing-91189-3	אולי תחשוב פעמיים אם להיכנס לתא עם הבחור הזה
b002-014	batch-002	clean	none			2822	in-text	control-pass	ו/ב	רוצה	רבצה	155	29	1	5	clean-51312-1	אני רוצה לדבר על זה
b002-015	batch-002	clean	none			10357	in-text	control-pass	ו/ב	יותר	יבתר	152	27	3	6	clean-80895-3	אני תמיד הגעתי יותר עמוק ממנו
b002-016	batch-002	real	adjacent	90	2	5735	in-text	overruled	ס/ש	סם	שם	108	146	5	13	firing-194034-5	תגיד לי היא אמרה באיזה סם היא השתמשה על מנת להצית את עצמה
b002-017	batch-002	real	adjacent	60	2	7135	unclear	unclear	ב/ו	הקבל	הקול	48	105	8	10	firing-94852-8	הם אמרו שבחורה בהריון שעושה סקי תהפוך את הקבל לעצבני
b002-018	batch-002	injected	known			1966	suggested	control-pass	ת/ט	תוב	טוב	24	156	3	7	injected-13169-3	אני לא מרגיש תוב אני ממש בלחץ
b002-019	batch-002	real	adjacent	40	2	6782	unclear	unclear	ט/ת	החוטם	החותם	50	75	6	11	firing-235722-6	כי הלהב בחזית מזכיר לי את החוטם הצופר הגדול שלך יקירה
b002-020	batch-002	clean	none			3134	in-text	control-pass	א/ע	פאר	פער	73	72	2	6	clean-58004-2	זו דירת פאר בת שמונה חדרים
b002-021	batch-002	clean	none			8154	in-text	control-pass	כ/ק	הכוס	הקוס	92	31	2	7	clean-78180-2	כשאתה צעיר הכוס קטנה וקל למלא אותה
b002-022	batch-002	real	adjacent	25	2	15181	in-text	overruled	ע/א	עם	אם	157	157	5	20	firing-80499-5	תגידי לו שחתימה על החוק עם הכרייה לא תחסום יחצ נות שתהלל תיקונים בבנקאות וגם תוקיע את תרמית חוגי הכרייה
b002-023	batch-002	real	adjacent	26	2	7129	suggested	agreed	ו/ב	וצ	בצ	91	93	7	17	firing-177610-7	בגלל שאני יכול לחשב כל חשבון קבלה וצ ק בצורה משעממת מס הכנסה תמיד מוזמן אלי הביתה
b002-024	batch-002	clean	none			1491	in-text	control-pass	ט/ת	טוב	תוב	156	24	6	8	clean-62559-6	הם לא מכירים זה את זה טוב כמונו
b002-025	batch-002	real	adjacent	69	1	1921	in-text	overruled	ע/א	העם	האם	95	144	1	7	firing-20795-1	שמפשוטי העם אני או כי אני המתחרה
b002-026	batch-002	injected	known			2060	suggested	control-pass	ת/ט	מתר	מטר	22	105	6	8	injected-102967-6	יש לי גבר שהוא יותר משני מתר גובה
b002-027	batch-002	real	adjacent	43	2	7201	unclear	unclear	ו/ב	וחלק	בחלק	86	98	5	7	firing-194884-5	הם עברו את חי ר וחלק של
b002-028	batch-002	real	adjacent	24	2	5352	suggested	agreed	ט/ת	משחיט	משחית	27	61	11	14	firing-90325-11	הסרט ישבנים שרופים דורג כמספר אחד בשוברי הקופות אבל הסרט הזה משחיט את הנוער
b002-029	batch-002	clean	none			6016	in-text	control-pass	ב/ו	בזכות	וזכות	95	52	8	12	clean-186-8	מבחינה מסוימת אתה גיבור מבחינה מסוימת אתה גיבור בזכות בריחתך מהג ונגל
b002-030	batch-002	real	adjacent	30	2	4000	in-text	overruled	ח/כ	החי	הכי	79	132	1	10	firing-201245-1	הגבר החי הראשון מזה שנה ואני הוצאתי אותו מכלל פעולה
b002-031	batch-002	injected	known			25819	suggested	control-pass	ת/ט	תוב	טוב	24	156	9	12	injected-53747-9	אתה תשמש בתפקיד עד שתמות או שאמצא מישהו יותר תוב תודה המפקד
b002-032	batch-002	real	adjacent	49	2	2689	in-text	overruled	ו/ב	לחור	לחבר	81	106	1	4	firing-12152-1	תיכנסי לחור שלך כלבה
b002-033	batch-002	real	adjacent	44	2	5662	suggested	agreed	ו/ב	ובית	בבית	78	133	5	9	firing-168903-5	יאנוס קורצ אק בית ספר ובית יתומים בגטו וורשה
b002-034	batch-002	real	adjacent	37	2	3849	suggested	agreed	ב/ו	מבותרים	מוותרים	30	78	14	20	firing-33627-14	כן ואם אתם לא תצאו משם לפני שמישהו יתפוס אותכם אנחנו נמצא את עצמנו מבותרים על כל רחבי העולם קדימה
b002-035	batch-002	clean	none			6192	in-text	control-pass	ס/ש	ספר	שפר	123	64	10	17	clean-91849-10	ירית בו או משהו לא עוד לא הוא הבריז מבית ספר כשהלכתי הביתה לבדוק מישהו היה שם
b002-036	batch-002	real	adjacent	38	2	3088	in-text	overruled	ס/ש	המסטר	המשטר	54	65	6	15	firing-19976-6	זה בלתי נמנע שהתלמידים יתעלו על המסטר זה הגורל בני אנוש לא יכולים להתנגד לו
b002-037	batch-002	clean	none			1909	in-text	control-pass	ב/ו	בפנקס	ופנקס	61	37	2	6	clean-57131-2	נאלצתי להשתמש בפנקס הצ קים שלי
b002-038	batch-002	real	adjacent	54	2	3728	in-text	overruled	ו/ב	ויום	ביום	88	122	2	9	firing-200301-2	מי יתן ויום זה יזכר כיומו של פלאש גורדון
b002-039	batch-002	real	adjacent	27	2	9240	unclear	unclear	ו/ב	ואת	באת	129	108	12	14	firing-266737-12	ידעתי שיהיה קשה לך שהוא פה אבל אני אוהב אותך כל כך ואת רומן
b002-040	batch-002	real	adjacent	37	2	28719	unclear	unclear	ו/ב	וואו	בואו	124	133	2	8	firing-235588-2	שף מפורסם וואו הנה נסי חלה ביתית אחת
b002-041	batch-002	real	adjacent	40	2	4256	in-text	overruled	ט/ת	מט	מת	71	131	9	11	firing-21219-9	ברינקלי הוא תפסן מעולה וכבר הציעו לו מבחן ב מט ס
b002-042	batch-002	real	adjacent	26	2	3430	in-text	overruled	א/ע	אל	על	148	164	4	6	firing-151792-4	פקסס עותק של הצו אל הפקיד
b002-043	batch-002	repeat:batch-001	adjacent	33	2	3998	both-fine	both-fine	ו/ב	ותוך	בתוך	72	122	4	11	firing-256916-4	הכרתי את באדי במכללה ותוך שלושה שבועות הוא בחר עבורי כוכב
b002-044	batch-002	clean	none			4636	in-text	control-pass	ס/ש	סרט	שרט	109	63	5	8	clean-81960-5	והוא מתכוון לזה בקפדנות של סרט ללא פושעים
b002-045	batch-002	repeat:batch-001	adjacent	34	2	2841	in-text	overruled	ק/כ	עריקת	עריכת	24	63	3	5	firing-124935-3	הוא עודד את עריקת המתיישבים
b002-046	batch-002	real	adjacent	21	2	1945	unclear	unclear	ש/ס	שה	סה	86	77	8	16	firing-64573-8	שו דו שו דו שו דו שו דו שה לה לה לה לה לה לה הא
b002-047	batch-002	real	adjacent	21	2	7033	in-text	overruled	ו/ב	ואנשים	באנשים	92	99	2	12	firing-97387-2	אני מסכים ואנשים צעירים ותמימים צריכים להודות על מזלם להיות אסירי תודה
b002-048	batch-002	real	adjacent	30	2	7683	unclear	unclear	א/ע	אל	על	148	164	2	10	firing-138128-2	מתוך אנשי אל למה יש לך לזיין את הבחורה הזאת
b002-049	batch-002	real	adjacent	39	2	2644	in-text	overruled	כ/ק	נכה	נקה	85	79	6	9	firing-263557-6	היי ווילסון אני הולך להוציא לאיזה נכה את העין
